Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
225,0.096800,0.009370,0.174860,0.815770
226,0.098350,0.009673,0.177355,0.812973
227,0.098100,0.009624,0.176953,0.813424
228,0.100000,0.010000,0.180000,0.810000
229,0.100400,0.010080,0.180640,0.809280
230,0.096600,0.009332,0.174537,0.816132
231,0.098400,0.009683,0.177435,0.812883
232,0.098700,0.009742,0.177917,0.812342
233,0.098300,0.009663,0.177274,0.813063
234,0.095850,0.009187,0.173326,0.817487
235,0.098250,0.009653,0.177194,0.813153
236,0.095150,0.009054,0.172193,0.818754
237,0.094050,0.008845,0.170409,0.820745
238,0.094050,0.008845,0.170409,0.820745
239,0.094950,0.009016,0.171869,0.819116
240,0.092200,0.008501,0.167398,0.824101
241,0.090600,0.008208,0.164783,0.827008
242,0.092350,0.008529,0.167643,0.823829
243,0.091900,0.008446,0.166909,0.824646
244,0.090250,0.008145,0.164210,0.827645
245,0.087100,0.007586,0.159027,0.833386
246,0.088050,0.007753,0.160594,0.831653
247,0.089300,0.007974,0.162651,0.829374
248,0.092750,0.008603,0.168295,0.823103
249,0.089550,0.008019,0.163062,0.828919
250,0.088350,0.007806,0.161089,0.831106
251,0.088800,0.007885,0.161829,0.830285
252,0.090350,0.008163,0.164374,0.827463
253,0.091150,0.008308,0.165683,0.826008
254,0.093150,0.008677,0.168946,0.822377
255,0.091300,0.008336,0.165929,0.825736
256,0.089100,0.007939,0.162322,0.829739
257,0.087600,0.007674,0.159852,0.832474
258,0.091150,0.008308,0.165683,0.826008
259,0.088600,0.007850,0.161500,0.830650
260,0.087750,0.007700,0.160100,0.832200
261,0.085600,0.007327,0.156545,0.836127
262,0.084650,0.007166,0.154969,0.837866
263,0.085550,0.007319,0.156462,0.836219
264,0.088850,0.007894,0.161911,0.830194
265,0.089900,0.008082,0.163636,0.828282
266,0.089900,0.008082,0.163636,0.828282
267,0.093150,0.008677,0.168946,0.822377
268,0.091200,0.008317,0.165765,0.825917
269,0.090200,0.008136,0.164128,0.827736
270,0.088000,0.007744,0.160512,0.831744
271,0.084450,0.007132,0.154636,0.838232
272,0.084200,0.007090,0.154221,0.838690
273,0.082500,0.006806,0.151388,0.841806
274,0.083950,0.007048,0.153805,0.839148
275,0.088650,0.007859,0.161582,0.830559
276,0.090700,0.008226,0.164947,0.826826
277,0.087850,0.007718,0.160265,0.832018
278,0.083750,0.007014,0.153472,0.839514
279,0.082550,0.006815,0.151471,0.841715
280,0.083550,0.006981,0.153139,0.839881
281,0.086250,0.007439,0.157622,0.834939
282,0.083850,0.007031,0.153638,0.839331
283,0.084600,0.007157,0.154886,0.837957
284,0.085950,0.007387,0.157125,0.835487
285,0.088300,0.007797,0.161006,0.831197
286,0.088600,0.007850,0.161500,0.830650
287,0.091150,0.008308,0.165683,0.826008
