Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
1902,0.434400,0.188703,0.491393,0.319903
1903,0.432050,0.186667,0.490766,0.322567
1904,0.433900,0.188269,0.491262,0.320469
1905,0.437200,0.191144,0.492112,0.316744
1906,0.435600,0.189747,0.491705,0.318547
1907,0.439400,0.193072,0.492655,0.314272
1908,0.437500,0.191406,0.492188,0.316406
1909,0.436900,0.190882,0.492037,0.317082
1910,0.437250,0.191188,0.492125,0.316688
1911,0.438250,0.192063,0.492374,0.315563
1912,0.442150,0.195497,0.493307,0.311197
1913,0.443900,0.197047,0.493706,0.309247
1914,0.442000,0.195364,0.493272,0.311364
1915,0.440900,0.194393,0.493014,0.312593
1916,0.440950,0.194437,0.493026,0.312537
1917,0.446000,0.198916,0.494168,0.306916
1918,0.443500,0.196692,0.493615,0.309692
1919,0.445300,0.198292,0.494016,0.307692
1920,0.441750,0.195143,0.493214,0.311643
1921,0.441650,0.195055,0.493191,0.311755
1922,0.439400,0.193072,0.492655,0.314272
1923,0.437250,0.191188,0.492125,0.316688
1924,0.438750,0.192502,0.492497,0.315002
1925,0.435600,0.189747,0.491705,0.318547
1926,0.439950,0.193556,0.492788,0.313656
1927,0.434950,0.189182,0.491537,0.319282
1928,0.442000,0.195364,0.493272,0.311364
1929,0.445100,0.198114,0.493972,0.307914
1930,0.446150,0.199050,0.494200,0.306750
1931,0.447800,0.200525,0.494550,0.304925
1932,0.448550,0.201197,0.494706,0.304097
1933,0.448650,0.201287,0.494726,0.303987
1934,0.445450,0.198426,0.494049,0.307526
1935,0.444600,0.197669,0.493862,0.308469
1936,0.449850,0.202365,0.494970,0.302665
1937,0.444700,0.197758,0.493884,0.308358
1938,0.448350,0.201018,0.494665,0.304318
1939,0.446950,0.199764,0.494371,0.305864
1940,0.448950,0.201556,0.494788,0.303656
1941,0.450750,0.203176,0.495149,0.301676
1942,0.456850,0.208712,0.496276,0.295012
1943,0.453450,0.205617,0.495666,0.298717
1944,0.454500,0.206570,0.495860,0.297570
1945,0.456950,0.208803,0.496293,0.294903
1946,0.452650,0.204892,0.495516,0.299592
1947,0.451950,0.204259,0.495382,0.300359
1948,0.452600,0.204847,0.495506,0.299647
1949,0.458700,0.210406,0.496589,0.293006
1950,0.463600,0.214925,0.497350,0.287725
1951,0.470650,0.221511,0.498277,0.280211
1952,0.466050,0.217203,0.497695,0.285103
1953,0.467100,0.218182,0.497835,0.283982
1954,0.467600,0.218650,0.497900,0.283450
1955,0.462850,0.214230,0.497240,0.288530
1956,0.463300,0.214647,0.497306,0.288047
1957,0.469600,0.220524,0.498152,0.281324
1958,0.472750,0.223493,0.498515,0.277993
1959,0.468850,0.219820,0.498059,0.282120
1960,0.468800,0.219773,0.498053,0.282173
1961,0.466550,0.217669,0.497762,0.284569
1962,0.466500,0.217622,0.497756,0.284622
1963,0.462500,0.213906,0.497188,0.288906
1964,0.459450,0.211094,0.496711,0.292194
1965,0.462200,0.213629,0.497142,0.289229
1966,0.468100,0.219118,0.497965,0.282918
1967,0.471150,0.221982,0.498335,0.279682
1968,0.470850,0.221700,0.498301,0.280000
1969,0.472250,0.223020,0.498460,0.278520
1970,0.471350,0.222171,0.498358,0.279471
1971,0.469450,0.220383,0.498133,0.281483
1972,0.479400,0.229824,0.499151,0.271024
1973,0.480900,0.231265,0.499270,0.269465
1974,0.478550,0.229010,0.499080,0.271910
1975,0.479650,0.230064,0.499172,0.270764
1976,0.478950,0.229393,0.499114,0.271493
1977,0.484450,0.234692,0.499516,0.265792
1978,0.488600,0.238730,0.499740,0.261530
1979,0.492750,0.242803,0.499895,0.257303
1980,0.493150,0.243197,0.499906,0.256897
1981,0.494550,0.244580,0.499941,0.255480
1982,0.495300,0.245322,0.499956,0.254722
1983,0.502100,0.252104,0.499991,0.247904
1984,0.505300,0.255328,0.499944,0.244728
1985,0.498650,0.248652,0.499996,0.251352
1986,0.496700,0.246711,0.499978,0.253311
1987,0.502600,0.252607,0.499986,0.247407
1988,0.501350,0.251352,0.499996,0.248652
1989,0.501550,0.251552,0.499995,0.248452
1990,0.497050,0.247059,0.499983,0.252959
1991,0.497900,0.247904,0.499991,0.252104
1992,0.494450,0.244481,0.499938,0.255581
1993,0.490250,0.240345,0.499810,0.259845
1994,0.484900,0.235128,0.499544,0.265328
1995,0.478100,0.228580,0.499041,0.272380
1996,0.481450,0.231794,0.499312,0.268894
1997,0.482450,0.232758,0.499384,0.267858
1998,0.483500,0.233772,0.499455,0.266772
1999,0.481850,0.232179,0.499341,0.268479
2000,0.479600,0.230016,0.499168,0.270816
2001,0.482400,0.232710,0.499380,0.267910
2002,0.483400,0.233676,0.499449,0.266876
2003,0.481200,0.231553,0.499293,0.269153
2004,0.481100,0.231457,0.499286,0.269257
2005,0.484750,0.234983,0.499535,0.265483
2006,0.490100,0.240198,0.499804,0.259998
2007,0.490750,0.240836,0.499829,0.259336
2008,0.493200,0.243246,0.499908,0.256846
2009,0.496300,0.246314,0.499973,0.253714
2010,0.496850,0.246860,0.499980,0.253160
2011,0.497900,0.247904,0.499991,0.252104
2012,0.507900,0.257962,0.499875,0.242162
2013,0.504850,0.254874,0.499953,0.245174
2014,0.505600,0.255631,0.499937,0.244431
2015,0.498500,0.248502,0.499996,0.251502
2016,0.495400,0.245421,0.499958,0.254621
2017,0.499000,0.249001,0.499998,0.251001
2018,0.497200,0.247208,0.499984,0.252808
2019,0.495050,0.245075,0.499951,0.254975
2020,0.497600,0.247606,0.499988,0.252406
2021,0.498550,0.248552,0.499996,0.251452
2022,0.504400,0.254419,0.499961,0.245619
2023,0.505150,0.255177,0.499947,0.244877
2024,0.501700,0.251703,0.499994,0.248303
2025,0.505500,0.255530,0.499939,0.244530
2026,0.506200,0.256238,0.499923,0.243838
2027,0.509000,0.259081,0.499838,0.241081
2028,0.512850,0.263015,0.499670,0.237315
2029,0.514700,0.264916,0.499568,0.235516
2030,0.518750,0.269102,0.499297,0.231602
2031,0.515950,0.266204,0.499491,0.234304
2032,0.517300,0.267599,0.499401,0.232999
2033,0.517700,0.268013,0.499373,0.232613
